tracker_name,sequence_name,FPS,conf
SORT,MOT17-02-FRCNN,6.9,0.05
LITEDeepSORT,MOT17-02-FRCNN,6.0,0.05
OCSORT,MOT17-02-FRCNN,6.5,0.05
Bytetrack,MOT17-02-FRCNN,7.5,0.05
DeepOCSORT,MOT17-02-FRCNN,3.5,0.05
LITEDeepOCSORT,MOT17-02-FRCNN,6.0,0.05
BoTSORT,MOT17-02-FRCNN,5.3,0.05
LITEBoTSORT,MOT17-02-FRCNN,7.3,0.05
SORT,MOT17-02-FRCNN,7.7,0.1
LITEDeepSORT,MOT17-02-FRCNN,6.9,0.1
OCSORT,MOT17-02-FRCNN,7.5,0.1
Bytetrack,MOT17-02-FRCNN,7.6,0.1
DeepOCSORT,MOT17-02-FRCNN,4.2,0.1
LITEDeepOCSORT,MOT17-02-FRCNN,6.8,0.1
BoTSORT,MOT17-02-FRCNN,5.3,0.1
LITEBoTSORT,MOT17-02-FRCNN,7.4,0.1
SORT,MOT17-02-FRCNN,7.8,0.15
LITEDeepSORT,MOT17-02-FRCNN,7.2,0.15
OCSORT,MOT17-02-FRCNN,7.8,0.15
Bytetrack,MOT17-02-FRCNN,7.7,0.15
DeepOCSORT,MOT17-02-FRCNN,4.6,0.15
LITEDeepOCSORT,MOT17-02-FRCNN,7.2,0.15
BoTSORT,MOT17-02-FRCNN,5.3,0.15
LITEBoTSORT,MOT17-02-FRCNN,7.5,0.15
SORT,MOT17-02-FRCNN,7.8,0.2
LITEDeepSORT,MOT17-02-FRCNN,7.4,0.2
OCSORT,MOT17-02-FRCNN,7.9,0.2
Bytetrack,MOT17-02-FRCNN,7.7,0.2
DeepOCSORT,MOT17-02-FRCNN,4.8,0.2
LITEDeepOCSORT,MOT17-02-FRCNN,7.3,0.2
BoTSORT,MOT17-02-FRCNN,5.4,0.2
LITEBoTSORT,MOT17-02-FRCNN,7.5,0.2
SORT,MOT17-02-FRCNN,7.9,0.25
LITEDeepSORT,MOT17-02-FRCNN,7.5,0.25
OCSORT,MOT17-02-FRCNN,8.0,0.25
Bytetrack,MOT17-02-FRCNN,7.7,0.25
DeepOCSORT,MOT17-02-FRCNN,5.0,0.25
LITEDeepOCSORT,MOT17-02-FRCNN,7.5,0.25
BoTSORT,MOT17-02-FRCNN,5.4,0.25
LITEBoTSORT,MOT17-02-FRCNN,7.4,0.25
SORT,MOT17-02-FRCNN,7.9,0.3
LITEDeepSORT,MOT17-02-FRCNN,7.6,0.3
OCSORT,MOT17-02-FRCNN,8.1,0.3
Bytetrack,MOT17-02-FRCNN,7.8,0.3
DeepOCSORT,MOT17-02-FRCNN,5.1,0.3
LITEDeepOCSORT,MOT17-02-FRCNN,7.6,0.3
BoTSORT,MOT17-02-FRCNN,5.4,0.3
LITEBoTSORT,MOT17-02-FRCNN,7.5,0.3
SORT,MOT17-02-FRCNN,7.9,0.35
LITEDeepSORT,MOT17-02-FRCNN,7.8,0.35
OCSORT,MOT17-02-FRCNN,8.2,0.35
Bytetrack,MOT17-02-FRCNN,7.8,0.35
DeepOCSORT,MOT17-02-FRCNN,5.2,0.35
LITEDeepOCSORT,MOT17-02-FRCNN,7.7,0.35
BoTSORT,MOT17-02-FRCNN,5.4,0.35
LITEBoTSORT,MOT17-02-FRCNN,7.7,0.35
SORT,MOT17-02-FRCNN,8.0,0.4
LITEDeepSORT,MOT17-02-FRCNN,7.8,0.4
OCSORT,MOT17-02-FRCNN,8.3,0.4
Bytetrack,MOT17-02-FRCNN,7.9,0.4
DeepOCSORT,MOT17-02-FRCNN,5.3,0.4
LITEDeepOCSORT,MOT17-02-FRCNN,7.8,0.4
BoTSORT,MOT17-02-FRCNN,5.4,0.4
LITEBoTSORT,MOT17-02-FRCNN,7.6,0.4
SORT,MOT17-02-FRCNN,8.0,0.45
LITEDeepSORT,MOT17-02-FRCNN,8.0,0.45
OCSORT,MOT17-02-FRCNN,8.4,0.45
Bytetrack,MOT17-02-FRCNN,7.9,0.45
DeepOCSORT,MOT17-02-FRCNN,5.4,0.45
LITEDeepOCSORT,MOT17-02-FRCNN,7.8,0.45
