tracker_name,sequence_name,FPS,conf
BoTSORT,MOT17-02-FRCNN,5.4,0.45
LITEBoTSORT,MOT17-02-FRCNN,7.6,0.45
SORT,MOT17-02-FRCNN,8.1,0.5
LITEDeepSORT,MOT17-02-FRCNN,8.0,0.5
OCSORT,MOT17-02-FRCNN,8.5,0.5
Bytetrack,MOT17-02-FRCNN,7.9,0.5
DeepOCSORT,MOT17-02-FRCNN,5.4,0.5
LITEDeepOCSORT,MOT17-02-FRCNN,8.0,0.5
BoTSORT,MOT17-02-FRCNN,5.4,0.5
LITEBoTSORT,MOT17-02-FRCNN,7.5,0.5
SORT,MOT17-02-FRCNN,8.0,0.55
LITEDeepSORT,MOT17-02-FRCNN,8.1,0.55
OCSORT,MOT17-02-FRCNN,8.4,0.55
Bytetrack,MOT17-02-FRCNN,7.9,0.55
DeepOCSORT,MOT17-02-FRCNN,5.5,0.55
LITEDeepOCSORT,MOT17-02-FRCNN,8.0,0.55
BoTSORT,MOT17-02-FRCNN,5.4,0.55
LITEBoTSORT,MOT17-02-FRCNN,7.6,0.55
SORT,MOT17-02-FRCNN,8.0,0.6
LITEDeepSORT,MOT17-02-FRCNN,8.2,0.6
OCSORT,MOT17-02-FRCNN,8.6,0.6
Bytetrack,MOT17-02-FRCNN,7.9,0.6
DeepOCSORT,MOT17-02-FRCNN,5.6,0.6
LITEDeepOCSORT,MOT17-02-FRCNN,8.1,0.6
BoTSORT,MOT17-02-FRCNN,5.4,0.6
LITEBoTSORT,MOT17-02-FRCNN,7.7,0.6
SORT,MOT17-02-FRCNN,8.2,0.65
LITEDeepSORT,MOT17-02-FRCNN,8.2,0.65
OCSORT,MOT17-02-FRCNN,8.7,0.65
Bytetrack,MOT17-02-FRCNN,7.9,0.65
DeepOCSORT,MOT17-02-FRCNN,5.7,0.65
LITEDeepOCSORT,MOT17-02-FRCNN,8.1,0.65
BoTSORT,MOT17-02-FRCNN,5.6,0.65
LITEBoTSORT,MOT17-02-FRCNN,7.7,0.65
SORT,MOT17-02-FRCNN,8.2,0.7
LITEDeepSORT,MOT17-02-FRCNN,8.3,0.7
OCSORT,MOT17-02-FRCNN,8.7,0.7
Bytetrack,MOT17-02-FRCNN,7.9,0.7
DeepOCSORT,MOT17-02-FRCNN,5.7,0.7
LITEDeepOCSORT,MOT17-02-FRCNN,8.3,0.7
BoTSORT,MOT17-02-FRCNN,5.6,0.7
LITEBoTSORT,MOT17-02-FRCNN,7.8,0.7
