model,layer,auc_score,model,layer_name,shape
yolov8m,layer2,0.7354405988666529,yolov8m,C2f 2,"(1, 96, 184, 320)"
yolov8m,layer3,0.7134825218265557,yolov8m,Conv 3,"(1, 96, 184, 320)"
yolov8m,layer4,0.7432486387124024,yolov8m,C2f 4,"(1, 192, 92, 160)"
yolov8m,layer5,0.7323823968004072,yolov8m,Conv 5,"(1, 192, 92, 160)"
yolov8m,layer6,0.733904785444158,yolov8m,C2f 6,"(1, 384, 46, 80)"
yolov8m,layer7,0.706345154461799,yolov8m,Conv 7,"(1, 384, 46, 80)"
yolov8m,layer8,0.7361548151280952,yolov8m,C2f 8,"(1, 576, 23, 40)"
yolov8m,layer9,0.7285470147401454,yolov8m,SPPF 9,"(1, 576, 23, 40)"
yolov8m,layer10,0.734076759892104,yolov8m,Upsample 10,"(1, 576, 23, 40)"
yolov8m,layer11,0.7459925701347148,yolov8m,Concat 11,"(1, 576, 46, 80)"
yolov8m,layer12,0.7610777719803185,yolov8m,C2f 12,"(1, 960, 46, 80)"
yolov8m,layer13,0.7629741391564361,yolov8m,Upsample 13,"(1, 384, 46, 80)"
yolov8m,layer14,0.7690324557823675,yolov8m,Concat 14,"(1, 384, 92, 160)"
yolov8m,layer15,0.751627534442117,yolov8m,C2f 15,"(1, 576, 92, 160)"
yolov8m,layer16,0.7186788448046411,yolov8m,Conv 16,"(1, 192, 92, 160)"
yolov8m,layer17,0.7510401353868922,yolov8m,Concat 17,"(1, 192, 46, 80)"
yolov8m,layer18,0.7283841037550494,yolov8m,C2f 18,"(1, 576, 46, 80)"
yolov8m,layer19,0.6749896950902453,yolov8m,Conv 19,"(1, 384, 46, 80)"
yolov8m,layer20,0.7152460691222592,yolov8m,Concat 20,"(1, 384, 23, 40)"
yolov8m,layer21,0.6680007911175762,yolov8m,C2f 21,"(1, 960, 23, 40)"
yolov8m_padding,layer0,0.7091951836439444,yolov8m_padding,Conv 0,"(1, 3, 736, 1280)"
yolov8m_padding,layer1,0.7228626763002498,yolov8m_padding,Conv 1,"(1, 48, 368, 640)"
