tracker_name,sequence_name,FPS,conf
LITEBoTSORT,MOT17-02-FRCNN,15.2,0.6
SORT,MOT17-02-FRCNN,16.7,0.65
LITEDeepSORT,MOT17-02-FRCNN,15.2,0.65
OCSORT,MOT17-02-FRCNN,16.1,0.65
Bytetrack,MOT17-02-FRCNN,16.1,0.65
DeepOCSORT,MOT17-02-FRCNN,8.4,0.65
LITEDeepOCSORT,MOT17-02-FRCNN,15.3,0.65
BoTSORT,MOT17-02-FRCNN,8.9,0.65
LITEBoTSORT,MOT17-02-FRCNN,15.4,0.65
SORT,MOT17-02-FRCNN,16.8,0.7
LITEDeepSORT,MOT17-02-FRCNN,15.5,0.7
OCSORT,MOT17-02-FRCNN,16.1,0.7
Bytetrack,MOT17-02-FRCNN,16.3,0.7
DeepOCSORT,MOT17-02-FRCNN,8.6,0.7
LITEDeepOCSORT,MOT17-02-FRCNN,15.3,0.7
BoTSORT,MOT17-02-FRCNN,9.0,0.7
LITEBoTSORT,MOT17-02-FRCNN,15.5,0.7
