dataset,tracker,resolution,conf,model,HOTA,AssA,AssRe,AssPr,LocA,DetA,Dets,GT_IDs,IDs
MOT20,LITEDeepSORT,1280,0.25,yolov8s,27.608,21.795,26.903,43.821,76.798,35.527,640333,2215,3208
MOT20,LITEDeepSORT,1280,0.01,yolov8m,23.831,17.321,22.469,34.994,73.817,33.985,1628640,2215,11236
MOT20,StrongSORT,1280,0.25,yolov8l,25.478,28.515,31.999,62.584,78.993,22.991,370195,2215,2672
MOT20,LITEDeepSORT,1280,0.5,yolov8l,14.965,22.144,25.807,56.884,80.572,10.215,154079,2215,1149
MOT20,LITEDeepSORT,1280,0.5,yolov8m,16.596,22.77,26.639,56.367,79.773,12.201,188360,2215,1338
MOT20,DeepSORT,1280,0.5,yolov8m,16.736,23.272,26.877,58.555,79.784,12.145,187377,2215,1443
MOT20,DeepSORT,1280,0.15,yolov8m,27.948,24.841,29.651,48.943,77.143,31.806,560409,2215,2924
MOT20,SORT,1280,0.25,yolov8m,16.121,14.746,15.317,83.413,79.602,18.028,279768,2215,15583
MOT20,DeepSORT,1280,0.15,yolov8s,28.679,21.266,26.281,42.884,75.917,39.447,778579,2215,3994
MOT20,DeepSORT,1280,0.5,yolov8s,22.098,21.905,25.826,50.035,78.617,22.541,359341,2215,2083
MOT20,StrongSORT,1280,0.05,yolov8x,31.923,27.994,32.296,55.629,76.423,37.043,746555,2215,5568
MOT20,StrongSORT,1280,0.25,yolov8s,29.833,25.354,29.285,54.066,76.974,35.68,636933,2215,4203
MOT20,StrongSORT,1280,0.05,yolov8m,32.583,26.8,31.604,50.965,75.58,40.457,883980,2215,5691
MOT20,Bytetrack,1280,0.05,yolov8n,28.414,25.288,26.654,74.271,76.556,32.409,560227,2215,10392
MOT20,DeepSORT,1280,0.25,yolov8s,27.544,21.76,26.189,46.552,76.792,35.413,634600,2215,3708
MOT20,DeepSORT,1280,0.25,yolov8m,24.718,25.49,29.913,52.979,78.098,24.191,401018,2215,2261
MOT20,DeepSORT,1280,0.01,yolov8n,17.039,12.134,15.669,30.637,72.675,25.167,2242478,2215,19670
MOT20,Bytetrack,1280,0.05,yolov8s,30.722,28.299,29.818,75.383,77.365,33.732,570657,2215,8422
MOT20,LITEDeepSORT,1280,0.25,yolov8x,20.656,23.877,28.164,53.965,79.007,18.051,290887,2215,1932
MOT20,LITEDeepSORT,1280,0.05,yolov8x,29.174,23.5,28.737,46.15,76.241,36.855,751358,2215,4487
MOT20,LITEDeepSORT,1280,0.05,yolov8m,29.414,22.014,27.734,41.75,75.372,40.146,893238,2215,4617
MOT20,SORT,1280,0.15,yolov8x,20.788,19.672,20.472,82.052,78.682,22.336,361457,2215,15227
MOT20,SORT,1280,0.5,yolov8x,10.576,16.936,17.505,85.66,81.342,6.7072,98869,2215,5160
MOT20,LITEDeepSORT,1280,0.15,yolov8l,27.394,25.046,30.112,48.409,77.729,30.292,519713,2215,2404
MOT20,Bytetrack,1280,0.05,yolov8l,24.906,29.225,30.539,79.75,79.145,21.401,336462,2215,4556
MOT20,DeepSORT,1280,0.5,yolov8x,13.529,23.26,26.564,60.454,80.806,7.9456,119364,2215,1067
MOT20,DeepSORT,1280,0.25,yolov8x,20.902,24.549,28.662,56.194,78.974,17.963,289732,2215,2101
MOT20,DeepSORT,1280,0.05,yolov8x,29.613,24.217,28.871,49.714,76.258,36.869,743675,2215,5179
MOT20,SORT,1280,0.5,yolov8l,11.764,16.488,17.052,85.695,81.134,8.5353,125918,2215,6900
MOT20,DeepSORT,1280,0.25,yolov8n,25.014,18.624,22.701,42.616,75.828,34.281,642443,2215,4138
MOT20,LITEDeepSORT,1280,0.15,yolov8n,24.706,16.789,21.941,34.383,74.789,37.397,831603,2215,3850
MOT20,DeepSORT,1280,0.15,yolov8x,25.071,25.352,29.753,52.921,78.128,25.029,421763,2215,2413
MOT20,OCSORT,1280,0.25,yolov8n,27.214,26.066,27.753,70.978,76.888,28.877,486763,2215,5705
MOT20,SORT,1280,0.25,yolov8x,16.734,17.289,17.987,83.431,79.396,16.52,259774,2215,14991
MOT20,LITEDeepSORT,1280,0.01,yolov8s,18.671,12.874,17.275,28.66,73.529,28.259,2085924,2215,13664
MOT20,DeepSORT,1280,0.01,yolov8s,20.578,15.066,19.16,34.362,73.52,29.32,1988770,2215,17586
MOT20,SORT,1280,0.05,yolov8m,27.854,20.167,21.073,77.301,76.031,39.624,765541,2215,30826
MOT20,SORT,1280,0.01,yolov8x,26.289,18.007,18.88,75.005,74.875,40.227,1133906,2215,79642
